geom,identyfikator,województwo,powiat,gmina,obręb,numer,data_dodania,cena,przeznaczenie,Link do oferty,Komentarz,Powierzchnia,Link do zdjęcia,Location,,working links
,180509_2.0009.412,podkarpackie,jasielski,Skołyszyn,Pusta Wola,412,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811206172525458/?sale_post_id=3811206172525458,,,,,,
,180509_2.0009.411,podkarpackie,jasielski,Skołyszyn,Pusta Wola,411,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811206172525458/?sale_post_id=3811206172525458,,,,,,
,180509_2.0009.410,podkarpackie,jasielski,Skołyszyn,Pusta Wola,410,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811206172525458/?sale_post_id=3811206172525458,,,,,,
,180509_2.0009.408,podkarpackie,jasielski,Skołyszyn,Pusta Wola,408,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811206172525458/?sale_post_id=3811206172525458,,,,,,
,180305_2.0005.518,podkarpackie,dębicki,Jodłowa,Zagórze,518,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811265799186162/?sale_post_id=3811265799186162,,,,,,
,302109_5.0012.35/56,wielkopolskie,poznański,Kórnik,Konarskie,35/56,2024/12/10,210000,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811295389183203/?sale_post_id=3811295389183203,,,,,,
0103000020110F00000100000005000000BBC9B14BBF2A42416DBCCF8608145A4102894E05C92A42412666256907145A419AE34FB1C22A424177FB8A8FF9135A4181D1CCF9B82A4241E5DE32ADFA135A41BBC9B14BBF2A42416DBCCF8608145A41,141207_5.0021.14/11,mazowieckie,miński,Halinów,Wielgolas Duchnowski,14/11,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811305575848851/?sale_post_id=3811305575848851,,,,,,
0103000020110F00000100000005000000BBC9B14BBF2A42416DBCCF8608145A4181D1CCF9B82A4241E5DE32ADFA135A41E1B0D239AB2A42416653A542FC135A411E6D9989B12A4241E3A1391B0A145A41BBC9B14BBF2A42416DBCCF8608145A41,141207_5.0021.13/8,mazowieckie,miński,Halinów,Wielgolas Duchnowski,13/8,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811305575848851/?sale_post_id=3811305575848851,,,,,,
0103000020110F000001000000050000001C589B87CA2A4241799F3EB40A145A4102894E05C92A42412666256907145A41BBC9B14BBF2A42416DBCCF8608145A410C7F3261C02A424137CA3AE90A145A411C589B87CA2A4241799F3EB40A145A41,141207_5.0021.14/9,mazowieckie,miński,Halinów,Wielgolas Duchnowski,14/9,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811305575848851/?sale_post_id=3811305575848851,,,,,,
0103000020110F000001000000050000001C589B87CA2A4241799F3EB40A145A410C7F3261C02A424137CA3AE90A145A41617A7B9BC52A42412A22465C16145A41E5195A5BCF2A4241B0028B3D15145A411C589B87CA2A4241799F3EB40A145A41,141207_5.0021.14/8,mazowieckie,miński,Halinów,Wielgolas Duchnowski,14/8,2024/12/10,,,https://www.facebook.com/groups/dzialkizamniejniz100tys/permalink/3811305575848851/?sale_post_id=3811305575848851,,,,,,
